2021-12-17 11:37:24,125 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="6e292560-5169-4fbf-b2e0-2351a6bda840")>
2021-12-17 11:37:24,126 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="6e292560-5169-4fbf-b2e0-2351a6bda840")>
2021-12-17 11:37:24,126 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='我的']")
2021-12-17 11:37:24,126 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='我的']")
2021-12-17 11:37:24,515 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
2021-12-17 11:37:24,516 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/head_img']")
2021-12-17 11:37:25,584 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/mobile_et']") 输入内容：13600001111
2021-12-17 11:37:25,585 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/mobile_et']")
2021-12-17 11:37:34,492 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']") 输入内容：123456
2021-12-17 11:37:34,492 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/pwd_et']")
2021-12-17 11:37:40,874 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/agree_btn']")
2021-12-17 11:37:40,874 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/agree_btn']")
2021-12-17 11:37:44,527 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/login_tv']")
2021-12-17 11:37:44,527 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/login_tv']")
2021-12-17 11:37:47,142 INFO [base.py(base_get_text:39)] - 正调用获取元素信息方法：('xpath', "//*[@resource-id='com.tpshop.malls:id/nick_name_tv']")
2021-12-17 11:37:47,142 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/nick_name_tv']")
2021-12-17 11:37:48,224 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='首页']")
2021-12-17 11:37:48,224 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='首页']")
2021-12-17 11:37:49,427 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:37:49,427 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:37:52,222 INFO [base.py(base_input:29)] - 正调用输入元素方法：('xpath', "//*[@class='android.widget.EditText']") 输入内容：小米
2021-12-17 11:37:52,222 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@class='android.widget.EditText']")
2021-12-17 11:38:01,639 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/search_btn']")
2021-12-17 11:38:01,639 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/search_btn']")
2021-12-17 11:38:03,280 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/product_pic_img']")
2021-12-17 11:38:03,280 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/product_pic_img']")
2021-12-17 11:38:04,622 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/add_cart_tv']")
2021-12-17 11:38:04,622 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@resource-id='com.tpshop.malls:id/add_cart_tv']")
2021-12-17 11:38:08,076 INFO [base.py(base_click:24)] - 正调用点击元素：('xpath', "//*[@text='确定']")
2021-12-17 11:38:08,076 INFO [base.py(base_find:19)] - 正在查找元素：('xpath', "//*[@text='确定']")
2021-12-17 11:38:18,118 ERROR [test01_app_login_order.py(test01_login_order:39)] - Message: 

2021-12-17 11:38:18,118 INFO [base.py(base_get_img:44)] - 正调用截图方法
2021-12-17 11:38:32,665 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="3d3f1894-62ff-4776-b54f-a2cbb98ff8c2")>
2021-12-17 11:38:32,665 INFO [base.py(__init__:14)] - 正在初始化，driver对象：<appium.webdriver.webdriver.WebDriver (session="3d3f1894-62ff-4776-b54f-a2cbb98ff8c2")>
